"Peak#","Ret_Time","Area","Conc_ug/mL extract","Dilution","CorrConc_ug /mL biodiesel","%FAME","Lab_Tag","Treatment_ID","Type"
"C16:0",13.166,213472866,1450.36749155055,100,145036.749155055,0.340238604643408,"Fat4_B1","Low fat","LAE"
"C16:1 (Z9)",13.447,11519450,69.7538484541618,100,6975.38484541618,0.0163634059676693,"Fat4_B1","Low fat","LAE"
"Unknown 2",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C17:0",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C18:0",16.2,65589802,432.640295421365,100,43264.0295421365,0.101492160631171,"Fat4_B1","Low fat","LAE"
"C18:1 (Z9)",16.466,135016799,909.089630752292,100,90908.9630752292,0.213261390140701,"Fat4_B1","Low fat","LAE"
"Unknown 3",16.718,3397283,14.5524579133733,100,1455.24579133733,0.00341382994546074,"Fat4_B1","Low fat","LAE"
"C18:2 (Z9,12)",17.087,21458162,140.583156518142,100,14058.3156518142,0.0329791017026745,"Fat4_B1","Low fat","LAE"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C20:1 (Z11)",19.841,13052467,80.1728253260567,100,8017.28253260567,0.018807571445286,"Fat4_B1","Low fat","LAE"
"C22:0",22.864,37377883,237.920397692465,100,23792.0397692465,0.0558132367132331,"Fat4_B1","Low fat","LAE"
"C22:2 ???",25.721,7427568,46.9672258030079,100,4696.72258030079,0.0110179409455071,"Fat4_B1","Low fat","LAE"
"C24:0",26.073,13759347,88.6925852975002,100,8869.25852975002,0.0208062036964003,"Fat4_B1","Low fat","LAE"
"Unknown 4",NA,NA,0,100,0,0,"Fat4_B1","Low fat","LAE"
"C4:0",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C6:0",3.672,5553417,38.704816000113,100,3870.4816000113,0.0119363981811688,"Fat4_B2","High fat","LAE"
"C8:0",5.104,5814521,40.5494351779243,100,4054.94351779243,0.0125052707731199,"Fat4_B2","High fat","LAE"
"C10:0",6.446,10566148,74.1182134808441,100,7411.82134808441,0.0228577370987022,"Fat4_B2","High fat","LAE"
"Unknown 1",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C12:0",8.074,21130109,148.749337685183,100,14874.9337685183,0.0458736536504992,"Fat4_B2","High fat","LAE"
"C14:0",10.311,33079281,233.166550099259,100,23316.6550099259,0.071907557563536,"Fat4_B2","High fat","LAE"
"C14:1 (Z9)",10.749,3324001,22.954680004804,100,2295.4680004804,0.00707912422727585,"Fat4_B2","High fat","LAE"
"C15:0",11.631,3671093,23.6395332231675,100,2363.95332231675,0.00729033000358073,"Fat4_B2","High fat","LAE"
"C16:0",13.134,109661807,744.414733663831,100,74441.4733663831,0.229574290520184,"Fat4_B2","High fat","LAE"
"C16:1 (Z9)",13.437,6994663,39.0016447256638,100,3900.16447256638,0.0120279388788373,"Fat4_B2","High fat","LAE"
"Unknown 2",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C17:0",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C18:0",16.17,31599997,208.10284917788,100,20810.284917788,0.0641780203893914,"Fat4_B2","High fat","LAE"
"C18:1 (Z9)",16.444,79086989,528.968994882321,100,52896.8994882321,0.163131754673361,"Fat4_B2","High fat","LAE"
"Unknown 3",16.716,17626546,111.260036564562,100,11126.0036564562,0.0343121150112724,"Fat4_B2","High fat","LAE"
"C18:2 (Z9,12)",17.085,24356221,159.919792625806,100,15991.9792625806,0.0493185737357848,"Fat4_B2","High fat","LAE"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C20:1 (Z11)",19.845,23955975,154.277285794871,100,15427.7285794871,0.047578448985578,"Fat4_B2","High fat","LAE"
"C22:0",22.875,69062233,440.112747600572,100,44011.2747600572,0.135728871568678,"Fat4_B2","High fat","LAE"
"C22:2 ???",25.726,13302399,86.165692515046,100,8616.5692515046,0.0265731276286843,"Fat4_B2","High fat","LAE"
"C24:0",26.08,28856765,188.481195553029,100,18848.1195553029,0.0581267871103464,"Fat4_B2","High fat","LAE"
"Unknown 4",NA,NA,0,100,0,0,"Fat4_B2","High fat","LAE"
"C4:0",2.316,2219294,15.1502659856304,100,1515.02659856304,0.00526803806485187,"Fat5_B1","Low fat","LAE"
"C6:0",3.671,4695730,32.6455220453694,100,3264.55220453694,0.0113514741553108,"Fat5_B1","Low fat","LAE"
"C8:0",5.103,3938597,27.2966110675455,100,2729.66110675455,0.0094915552163689,"Fat5_B1","Low fat","LAE"
"C10:0",6.444,7380230,51.6106860521798,100,5161.06860521798,0.0179460254317568,"Fat5_B1","Low fat","LAE"
"Unknown 1",NA,NA,0,100,0,0,"Fat5_B1","Low fat","LAE"
"C12:0",8.067,8401653,58.8267243145483,100,5882.67243145483,0.0204551803389802,"Fat5_B1","Low fat","LAE"
"C14:0",10.304,23990665,168.958282997407,100,16895.8282997407,0.0587500356130097,"Fat5_B1","Low fat","LAE"
"C14:1 (Z9)",NA,NA,0,100,0,0,"Fat5_B1","Low fat","LAE"
"C15:0",11.628,2780419,17.5826277957987,100,1758.26277957987,0.00611381691887412,"Fat5_B1","Low fat","LAE"
"C16:0",13.115,71784996,486.838715819682,100,48683.8715819682,0.169283159042502,"Fat5_B1","Low fat","LAE"
"C16:1 (Z9)",13.432,5392914,28.115538579691,100,2811.5538579691,0.00977631201934707,"Fat5_B1","Low fat","LAE"
"Unknown 2",13.571,8258602,47.5918633654349,100,4759.18633654349,0.0165486037026767,"Fat5_B1","Low fat","LAE"
"C17:0",NA,NA,0,100,0,0,"Fat5_B1","Low fat","LAE"
"C18:0",16.157,22975870,151.13166465183,100,15113.166465183,0.052551378500246,"Fat5_B1","Low fat","LAE"
"C18:1 (Z9)",16.43,47202536,312.269911714932,100,31226.9911714932,0.108582237630843,"Fat5_B1","Low fat","LAE"
"Unknown 3",16.714,12092999,73.6519094449391,100,7365.19094449391,0.0256101815554242,"Fat5_B1","Low fat","LAE"
"C18:2 (Z9,12)",17.071,8963510,57.2154476426865,100,5721.54476426865,0.0198949085359355,"Fat5_B1","Low fat","LAE"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat5_B1","Low fat","LAE"
"C20:1 (Z11)",19.845,34651713,226.969660928251,100,22696.9660928251,0.0789217043760564,"Fat5_B1","Low fat","LAE"
"C22:0",22.885,106725817,680.461328364305,100,68046.1328364305,0.236609455100181,"Fat5_B1","Low fat","LAE"
"C22:2 ???",25.725,19277540,126.033454768672,100,12603.3454768672,0.0438242495409578,"Fat5_B1","Low fat","LAE"
"C24:0",26.081,40762292,267.172531627163,100,26717.2531627163,0.0929010136079251,"Fat5_B1","Low fat","LAE"
"Unknown 4",26.772,7354859,46.3611775747882,100,4636.11775747882,0.0161206706487522,"Fat5_B1","Low fat","LAE"
"C4:0",2.316,2462855,16.8709492825806,100,1687.09492825806,0.0042620305886404,"Fat5_B2","High fat","LAE"
"C6:0",3.671,5627492,39.2281330140093,100,3922.81330140093,0.00991002343973547,"Fat5_B2","High fat","LAE"
"C8:0",5.104,6298128,43.9659693816276,100,4396.59693816276,0.0111069213252392,"Fat5_B2","High fat","LAE"
"C10:0",6.446,12487958,87.6952080198377,100,8769.52080198376,0.022154038447833,"Fat5_B2","High fat","LAE"
"Unknown 1",NA,NA,0,100,0,0,"Fat5_B2","High fat","LAE"
"C12:0",8.074,27648382,194.798924753972,100,19479.8924753972,0.0492111594925437,"Fat5_B2","High fat","LAE"
